Title_CN,Title_EN,Date,Domestic/International,Audience,Type,AI_Term_Counts,Reporting Duplicate? (Y/N),URL
习近平同法国总统马克龙举行会谈,Xi Jinping Holds Talks with French President Macron,2018-01-10,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/29755222
习近平：深刻认识建设现代化经济体系重要性 推动我国经济发展焕发新活力迈上新台阶,"Xi Jinping: Deeply Understand the Importance of Building a Modern Economic System, Promote New Vitality and New Levels in China's Economic Development",2018-02-01,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/29798984
一项历史性工程——习近平总书记调研京津冀协同发展并主持召开座谈会纪实,A Historic Project — A Record of General Secretary Xi Jinping's Investigation of Beijing-Tianjin-Hebei Coordinated Development and Presiding Over a Symposium,2018-02-28,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/30578445
习近平：党中央支持海南全面深化改革开放 争创新时代中国特色社会主义生动范例,"Xi Jinping: The Party Central Committee Supports Hainan's Comprehensive Deepening of Reform and Opening Up, Striving to Create a Vivid Example of Socialism with Chinese Characteristics in the New Era",2018-04-13,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/29925624
在庆祝海南建省办经济特区30周年大会上的讲话,Speech at the Conference Celebrating the 30th Anniversary of Hainan Province and Hainan Special Economic Zone,2018-04-14,Domestic,Academia/Scientists,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/29925838
习近平：敏锐抓住信息化发展历史机遇 自主创新推进网络强国建设,"Xi Jinping: Keenly Seize Historic Opportunities in Information Development, Promote the Construction of a Cyber Power Through Independent Innovation",2018-04-22,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/29941337
习近平：坚决打好污染防治攻坚战 推动生态文明建设迈上新台阶,"Xi Jinping: Resolutely Fight the Battle Against Pollution, Promote Ecological Civilization Construction to a New Level",2018-05-20,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30000992
习近平向2018中国国际大数据产业博览会致贺信,Xi Jinping's Congratulatory Letter to the 2018 China International Big Data Industry Expo,2018-05-27,Domestic,Business/Industry,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30015664
习近平：在中国科学院第十九次院士大会、中国工程院第十四次院士大会上的讲话,Xi Jinping: Speech at the 19th Academician Conference of the Chinese Academy of Sciences and the 14th Academician Conference of the Chinese Academy of Engineering,2018-05-28,Domestic,Academia/Scientists,speech transcript,人工智能(6); 深度学习(2); 算法(2),N,https://jhsjk.people.cn/article/30019215
习近平：瞄准世界科技前沿引领科技发展方向 抢占先机迎难而上建设世界科技强国,"Xi Jinping: Aim at the World's Frontiers of Science and Technology to Lead the Direction of Scientific and Technological Development, Seize Opportunities and Overcome Difficulties to Build a World Power in Science and Technology",2018-05-28,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/30018949
习近平在山东考察时强调  切实把新发展理念落到实处 不断增强经济社会发展创新力,"Xi Jinping Emphasizes During Inspection in Shandong: Effectively Implement the New Development Concept, Continuously Enhance Innovation Capacity in Economic and Social Development",2018-06-14,Domestic,Provincial/Municipal Officials & Citizens,visit description,人工智能(2),N,https://jhsjk.people.cn/article/30060076
习近平：切实把新发展理念落到实处 不断增强经济社会发展创新力,"Xi Jinping: Effectively Implement the New Development Concept, Continuously Enhance Innovation Capacity in Economic and Social Development",2018-06-15,Domestic,Academia/Scientists,visit description,人工智能(2),Y,https://jhsjk.people.cn/article/30060311
习近平在中阿合作论坛第八届部长级会议开幕式上的讲话,Xi Jinping's Speech at the Opening Ceremony of the Eighth Ministerial Meeting of the China-Arab States Cooperation Forum,2018-07-10,International,Government Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30138530
习近平：携手推进新时代中阿战略伙伴关系,Xi Jinping: Work Together to Advance the China-Arab Strategic Partnership in the New Era,2018-07-11,Domestic,Academia/Scientists,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/30139172
习近平：顺应时代潮流 实现共同发展,"Xi Jinping: Follow the Tide of the Times, Achieve Common Development",2018-07-26,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30170246
习近平在金砖国家领导人约翰内斯堡会晤大范围会议上的讲话（全文）,Xi Jinping's Speech at the BRICS Leaders Johannesburg Summit Large-Scale Meeting (Full Text),2018-07-26,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/30172564
习近平：让美好愿景变为现实,Xi Jinping: Turn Beautiful Vision into Reality,2018-07-27,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/30173944
习近平向首届中国国际智能产业博览会致贺信,Xi Jinping's Congratulatory Letter to the First China International Intelligent Industry Expo,2018-08-24,International,Business/Industry,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/30247746
习近平致2018世界人工智能大会的贺信,Xi Jinping's Congratulatory Letter to the 2018 World Artificial Intelligence Conference,2018-09-17,International,Government Officials,letter,人工智能(19),N,https://jhsjk.people.cn/article/30298399
习近平：共享数字经济发展机遇 共同推动人工智能造福人类,"Xi Jinping: Share Opportunities in Digital Economy Development, Jointly Promote Artificial Intelligence to Benefit Mankind",2018-09-17,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(47),Y,https://jhsjk.people.cn/article/30299114
人大常委会第六次会议在京闭幕 习近平签署主席令予以公布 栗战书主持会议,"NPC Standing Committee Sixth Session Concludes in Beijing, Xi Jinping Signs Presidential Order for Promulgation, Li Zhanshu Presides Over the Meeting",2018-10-27,Domestic,Party/CCP Officials,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/30366015
习近平：推动我国新一代人工智能健康发展,Xi Jinping: Promote the Healthy Development of China's New Generation of Artificial Intelligence,2018-10-31,Domestic,Party/CCP Officials,speech transcript,人工智能(81); 深度学习(2),N,https://jhsjk.people.cn/article/30374719
习近平：共建创新包容的开放型世界经济,"Xi Jinping: Build an Innovative, Inclusive, and Open World Economy Together",2018-11-05,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30383522
习近平在首届中国国际进口博览会开幕式上的主旨演讲（全文）,Xi Jinping's Keynote Speech at the Opening Ceremony of the First China International Import Expo (Full Text),2018-11-05,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/30382600
习近平向第五届世界互联网大会致贺信,Xi Jinping's Congratulatory Letter to the Fifth World Internet Conference,2018-11-08,International,Business/Industry,letter,人工智能(2),N,https://jhsjk.people.cn/article/30388108
习近平主席在亚太经合组织工商领导人峰会上的主旨演讲（全文）,President Xi Jinping's Keynote Speech at the APEC CEO Summit (Full Text),2018-11-17,International,Business/Industry,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30406239
同舟共济创造美好未来,Create a Better Future Together,2018-11-18,International,Business/Industry,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/30406666
习近平在亚太经合组织第二十六次领导人非正式会议上的讲话（全文）,Xi Jinping's Speech at the 26th APEC Economic Leaders' Informal Meeting (Full Text),2018-11-18,International,Business/Industry,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/30406916
习近平：把握时代机遇 共谋亚太繁荣,"Xi Jinping: Seize the Opportunities of the Times, Seek Prosperity for the Asia-Pacific",2018-11-19,International,Business/Industry,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/30407251
中央经济工作会议在北京举行 习近平李克强作重要讲话,"Central Economic Work Conference Held in Beijing, Xi Jinping and Li Keqiang Deliver Important Speeches",2018-12-22,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30481845
习近平出席中央政法工作会议并发表重要讲话,Xi Jinping Attends Central Political and Legal Work Conference and Delivers Important Speech,2019-01-16,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30559257
习近平：全面深入做好新时代政法各项工作 促进社会公平正义保障人民安居乐业,"Xi Jinping: Comprehensively and Thoroughly Do All Political and Legal Work in the New Era, Promote Social Fairness and Justice and Ensure People's Peace and Prosperity",2019-01-17,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/30560032
习近平：让大家心无旁骛投入创新事业中,Xi Jinping: Let Everyone Focus Wholeheartedly on Innovation,2019-01-18,Domestic,Government Officials,visit description,人工智能(2),N,https://jhsjk.people.cn/article/30576843
习近平在京津冀三省市考察并主持召开京津冀协同发展座谈会,"Xi Jinping Inspects the Three Provinces and Municipalities of Beijing, Tianjin and Hebei and Presides Over Beijing-Tianjin-Hebei Coordinated Development Symposium",2019-01-18,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/30577658
习近平在天津考察,Xi Jinping Inspects Tianjin,2019-01-18,Domestic,Party/CCP Officials,visit description,人工智能(2),Y,https://jhsjk.people.cn/article/30576928
习近平：稳扎稳打勇于担当敢于创新善作善成 推动京津冀协同发展取得新的更大进展,"Xi Jinping: Make Steady Progress with Courage to Take Responsibility, Dare to Innovate, and Achieve Good Results, Promote Beijing-Tianjin-Hebei Coordinated Development to Achieve New and Greater Progress",2019-01-19,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30577832
习近平：提高防控能力着力防范化解重大风险 保持经济持续健康发展社会大局稳定,"Xi Jinping: Improve Prevention and Control Capabilities, Focus on Preventing and Resolving Major Risks, Maintain Sustained and Healthy Economic Development and Social Stability",2019-01-22,Domestic,Academia/Scientists,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30582837
习近平：加快推动媒体融合发展 构建全媒体传播格局,"Xi Jinping: Accelerate Media Convergence Development, Build an All-Media Communication Pattern",2019-01-25,Domestic,Party/CCP Officials,speech transcript,人工智能(4); 算法(2),N,https://jhsjk.people.cn/article/30978511
习近平：推动媒体融合向纵深发展 巩固全党全国人民共同思想基础,"Xi Jinping: Promote In-Depth Media Convergence Development, Consolidate the Common Ideological Foundation of the Whole Party and the Whole Nation",2019-01-26,Domestic,Party/CCP Officials,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/30591124
《求是》杂志发表习近平总书记重要文章 加快推动媒体融合发展 构建全媒体传播格局,"Qiushi Magazine Publishes Important Article by General Secretary Xi Jinping: Accelerate Media Convergence Development, Build an All-Media Communication Pattern",2019-03-16,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30978971
习近平：把稳方向突出实效全力攻坚 坚定不移推动落实重大改革举措,"Xi Jinping: Stabilize Direction, Highlight Effectiveness, Make Full Efforts to Attack, Unswervingly Promote the Implementation of Major Reform Measures",2019-03-20,Domestic,Academia/Scientists,speech transcript,人工智能(6),N,https://jhsjk.people.cn/article/30984406
习近平在中法全球治理论坛闭幕式上的讲话,Xi Jinping's Speech at the Closing Ceremony of the China-France Global Governance Forum,2019-03-26,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/30997013
习近平会见德国总理默克尔,Xi Jinping Meets with German Chancellor Merkel,2019-03-27,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/30997019
习近平会见法国总理菲利普,Xi Jinping Meets with French Prime Minister Philippe,2019-03-27,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/30997121
习近平：为建设更加美好的地球家园贡献智慧和力量,Xi Jinping: Contribute Wisdom and Strength to Building a Better Earth Home,2019-03-27,International,Other Heads of State / Foreign Leaders,visit description,人工智能(2),N,https://jhsjk.people.cn/article/30998648
习近平向国际人工智能与教育大会致贺信,Xi Jinping's Congratulatory Letter to the International Conference on Artificial Intelligence and Education,2019-05-16,International,Business/Industry,letter,人工智能(19),N,https://jhsjk.people.cn/article/31088558
习近平：推动新一代人工智能健康发展 更好造福世界各国人民,Xi Jinping: Promote the Healthy Development of a New Generation of Artificial Intelligence to Better Benefit People Around the World,2019-05-16,International,Business/Industry,letter,人工智能(21); 深度学习(4),N,https://jhsjk.people.cn/article/31089210
习近平致信祝贺第三届世界智能大会开幕,Xi Jinping Sends Congratulatory Letter on the Opening of the Third World Intelligence Congress,2019-05-16,International,Business/Industry,letter,人工智能(14); 深度学习(2),Y,https://jhsjk.people.cn/article/31088562
习近平致第三届世界智能大会的贺信,Xi Jinping's Congratulatory Letter to the Third World Intelligence Congress,2019-05-16,International,Business/Industry,meeting description,人工智能(8); 深度学习(2),Y,https://jhsjk.people.cn/article/31088564
习近平向2019中国国际大数据产业博览会致贺信,Xi Jinping's Congratulatory Letter to the 2019 China International Big Data Industry Expo,2019-05-27,International,Government Officials,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/31103672
习近平主席在上海合作组织成员国元首理事会第十九次会议上的讲话,President Xi Jinping's Speech at the 19th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,2019-06-14,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/31144393
习近平出席上海合作组织成员国元首理事会第十九次会议并发表重要讲话,Xi Jinping Attends the 19th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization and Delivers Important Speech,2019-06-15,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/31153733
凝心聚力 务实笃行 共创上海合作组织美好明天,"Unite Efforts, Be Pragmatic and Determined, Create a Better Tomorrow for the Shanghai Cooperation Organization",2019-06-15,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),Y,https://jhsjk.people.cn/article/31153738
习近平：紧密结合“不忘初心、牢记使命”主题教育 推动改革补短板强弱项激活力抓落实,"Xi Jinping: Closely Integrate with the ""Stay True to Our Founding Mission"" Theme Education, Promote Reform to Remedy Shortcomings, Strengthen Weaknesses, Stimulate Vitality and Ensure Implementation",2019-07-25,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/31254473
习近平向2019中国国际智能产业博览会致贺信,Xi Jinping's Congratulatory Letter to the 2019 China International Intelligent Industry Expo,2019-08-27,International,Business/Industry,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/31318577
习近平向第六届世界互联网大会致贺信,Xi Jinping's Congratulatory Letter to the Sixth World Internet Conference,2019-10-21,International,Business/Industry,letter,人工智能(2),N,https://jhsjk.people.cn/article/31410182
习近平向第83届国际电工委员会大会致贺信,Xi Jinping's Congratulatory Letter to the 83rd General Meeting of the International Electrotechnical Commission,2019-10-22,International,Business/Industry,letter,人工智能(2),N,https://jhsjk.people.cn/article/31412469
习近平：把区块链作为核心技术自主创新重要突破口  加快推动区块链技术和产业创新发展,"Xi Jinping: Make Blockchain a Major Breakthrough in Independent Innovation of Core Technologies, Accelerate the Promotion of Blockchain Technology and Industrial Innovation and Development",2019-10-26,Domestic,Academia/Scientists,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/31421707
习近平主席将出席第二届中国国际进口博览会,President Xi Jinping Will Attend the Second China International Import Expo,2019-10-30,International,Other Heads of State / Foreign Leaders,visit description,人工智能(2),N,https://jhsjk.people.cn/article/31427262
习近平致信祝贺甲骨文发现和研究一百二十周年强调 坚定文化自信 促进文明交流互鉴,"Xi Jinping Sends Congratulatory Letter on the 120th Anniversary of the Discovery and Research of Oracle Bone Inscriptions, Emphasizing: Strengthen Cultural Confidence, Promote Exchanges and Mutual Learning Among Civilizations",2019-11-01,Domestic,Academia/Scientists,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/31434378
习近平关于《中共中央关于坚持和完善中国特色社会主义制度 推进国家治理体系和治理能力现代化若干重大问题的决定》的说明,"Xi Jinping's Explanation on ""The Decision of the CPC Central Committee on Upholding and Improving the Socialist System with Chinese Characteristics and Advancing the Modernization of China's System and Capacity for Governance""",2019-11-06,Domestic,Party/CCP Officials,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/31439569
习近平同法国总统马克龙会谈,Xi Jinping Holds Talks with French President Macron,2019-11-07,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/31441715
习近平会见南非总统拉马福萨,Xi Jinping Meets with South African President Ramaphosa,2019-11-16,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/31458584
习近平会见日本首相安倍晋三,Xi Jinping Meets with Japanese Prime Minister Shinzo Abe,2019-12-24,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/31519303
习近平：完善重大疫情防控体制机制 健全国家公共卫生应急管理体系,"Xi Jinping: Improve the System and Mechanism for Major Epidemic Prevention and Control, Improve the National Public Health Emergency Management System",2020-02-15,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/31588184
习近平：全面提高依法防控依法治理能力 健全国家公共卫生应急管理体系,"Xi Jinping: Comprehensively Improve the Ability of Law-Based Prevention, Control and Governance, Improve the National Public Health Emergency Management System",2020-02-23,Domestic,Party/CCP Officials,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/31610816
习近平：为打赢疫情防控阻击战提供强大科技支撑,Xi Jinping: Provide Strong Scientific and Technological Support for Winning the Battle Against COVID-19,2020-03-02,Domestic,Academia/Scientists,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/31632573
习近平：协同推进新冠肺炎防控科研攻关 为打赢疫情防控阻击战提供科技支撑,"Xi Jinping: Coordinate and Promote COVID-19 Prevention and Control Scientific Research, Provide Scientific and Technological Support for Winning the Battle Against the Epidemic",2020-03-03,Domestic,Academia/Scientists,speech transcript,人工智能(2),Y,https://jhsjk.people.cn/article/31613556
习近平：运用信息化让城市变得更“聪明”,"Xi Jinping: Use Informatization to Make Cities More ""Smart""",2020-04-01,Domestic,Provincial/Municipal Officials & Citizens,visit description,人工智能(2),N,https://jhsjk.people.cn/article/31657432
习近平在浙江考察时强调 统筹推进疫情防控和经济社会发展工作 奋力实现今年经济社会发展目标任务,"Xi Jinping Emphasizes During Inspection in Zhejiang: Coordinate and Promote Epidemic Prevention and Control and Economic and Social Development Work, Strive to Achieve This Year's Economic and Social Development Goals and Tasks",2020-04-01,Domestic,Provincial/Municipal Officials & Citizens,visit description,人工智能(2),N,https://jhsjk.people.cn/article/31657786
习近平在浙江考察时强调：统筹推进疫情防控和经济社会发展工作 奋力实现今年经济社会发展目标任务,"Xi Jinping Emphasizes During Inspection in Zhejiang: Coordinate and Promote Epidemic Prevention and Control and Economic and Social Development Work, Strive to Achieve This Year's Economic and Social Development Goals and Tasks",2020-04-01,Domestic,Party/CCP Officials,visit description,人工智能(2),Y,https://jhsjk.people.cn/article/31658252
习近平：扎实做好“六稳”工作落实“六保”任务 奋力谱写陕西新时代追赶超越新篇章,"Xi Jinping: Do Solid Work on ""Six Stabilities"" and Implement ""Six Guarantees"" Tasks, Strive to Write a New Chapter of Catching Up and Surpassing in Shaanxi in the New Era",2020-04-24,Domestic,Party/CCP Officials,meeting description,人工智能(4),N,https://jhsjk.people.cn/article/31685908
中共中央政治局常务委员会召开会议 中共中央总书记习近平主持会议,"CPC Central Committee Political Bureau Standing Committee Holds Meeting, CPC Central Committee General Secretary Xi Jinping Presides Over the Meeting",2020-04-30,Domestic,Party/CCP Officials,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/31693726
习近平同匈牙利总理欧尔班通电话,Xi Jinping Speaks with Hungarian Prime Minister Orbán by Telephone,2020-05-16,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/31711436
"习近平在扎实推进长三角一体化发展座谈会上强调
紧扣一体化和高质量抓好重点工作
推动长三角一体化发展不断取得成效","Xi Jinping Emphasizes at the Symposium on Solidly Promoting Yangtze River Delta Integration Development: Focus on Integration and High Quality to Do a Good Job in Key Work, Promote Yangtze River Delta Integration Development to Continuously Achieve Results",2020-08-23,International,Other Heads of State / Foreign Leaders,meeting description,人工智能(2),N,https://jhsjk.people.cn/article/31833092
习近平：在上海合作组织成员国元首理事会第二十次会议上的讲话,Xi Jinping: Speech at the 20th Meeting of the Council of Heads of State of the Shanghai Cooperation Organization,2020-11-10,International,Other Heads of State / Foreign Leaders,speech transcript,人工智能(2),N,https://jhsjk.people.cn/article/31926265
